name,muscle_group,equipment,video_url,cues
Bodyweight Squat,Legs,None,,Feet shoulder-width; sit back into hips; knees track over toes
Chair-Assisted Squat,Legs,Chair,,Tap the chair lightly; keep chest up; drive through heels
Glute Bridge,Glutes,None,,Squeeze glutes at the top; don't arch the lower back
Reverse Lunge,Legs,None,,Step back; front knee over ankle; push through front heel
Step-Ups,Legs,Step or stair,,Full foot on the step; control the way down
Wall Push-Up,Chest,Wall,,Body in one line; elbows about 45 degrees from ribs
Incline Push-Up,Chest,Table or bench,,Higher surface = easier; keep core tight
Knee Push-Up,Chest,Mat,,Hips in line with shoulders and knees
Bent-Over Row (Band),Back,Resistance band,,Pull elbows toward hips; squeeze shoulder blades
Bent-Over Row (Dumbbell),Back,Dumbbells,,Flat back; pull to the waist not the chest
Lat Pulldown (Band),Back,Resistance band,,Anchor high; pull elbows down and back
Overhead Press (Dumbbell),Shoulders,Dumbbells,,Ribs down; press without leaning back
Lateral Raise,Shoulders,Dumbbells,,Lead with elbows; stop at shoulder height
Bicep Curl,Arms,Dumbbells,,Elbows pinned to sides; control the lowering
Tricep Kickback,Arms,Dumbbells,,Upper arm still; extend only the forearm
Plank,Core,Mat,,Straight line ear to ankle; breathe; don't sag hips
Knee Plank,Core,Mat,,Same line from knees; squeeze glutes
Side Plank (Knees),Core,Mat,,Stack shoulders; lift hips; hold steady
Dead Bug,Core,Mat,,Lower back pressed down; slow opposite arm and leg
Bird Dog,Core,Mat,,Long spine; reach without rotating hips
Cat-Cow,Mobility,Mat,,Move with the breath; segment the spine
Child's Pose,Mobility,Mat,,Knees wide; sink hips back; long arms
Hip Flexor Stretch,Mobility,Mat,,Tall posture; gentle forward shift; no pain
Hamstring Stretch,Mobility,Mat or strap,,Soft knee; hinge from the hip
Thoracic Rotation,Mobility,Mat,,Follow the moving hand with your eyes
Brisk Walk,Cardio,None,,Pace where you can talk but not sing
Incline Walk,Cardio,Treadmill or hill,,Lean slightly forward from ankles; relaxed arms
Cycling (Easy),Cardio,Cycle,,Smooth cadence; conversational effort
Marching in Place,Cardio,None,,Lift knees to hip height; swing arms
Low-Impact Jumping Jack,Cardio,None,,Step side-to-side instead of jumping
Stair Climb,Cardio,Stairs,,Use the rail if needed; steady breathing
Farmer's Carry,Full body,Dumbbells,,Tall posture; ribs stacked over hips; grip firm
Kettlebell Deadlift,Full body,Kettlebell or dumbbell,,Hinge at hips; flat back; stand tall
Wall Sit,Legs,Wall,,Thighs toward parallel; breathe through the hold
Calf Raise,Legs,None,,Pause at the top; lower slowly
Superman Hold,Back,Mat,,Lift chest and thighs gently; look down
Shoulder Taps,Core,Mat,,Wide feet; minimal hip sway
Standing Balance (Single Leg),Balance,None,,Soft knee; eyes on a fixed point
Box Breathing,Recovery,None,,Inhale 4 - hold 4 - exhale 4 - hold 4
Legs Up the Wall,Recovery,Wall,,5 to 10 minutes; slow nasal breathing
