name,portion,calories,protein,carbs,fats,is_veg,tags
Idli,"2 pieces (120g)",140,4,29,0.5,true,"breakfast, south-indian, light, low-fat"
Idli with Sambar,"2 idli + 1 katori sambar",240,9,42,4,true,"breakfast, south-indian, high-protein"
Rava Idli,"2 pieces (120g)",180,5,32,3,true,"breakfast, south-indian"
Oats Idli,"2 pieces (120g)",160,6,26,3,true,"breakfast, south-indian, fiber, high-protein"
Plain Dosa,"1 medium (100g)",165,4,28,4,true,"breakfast, south-indian"
Masala Dosa,"1 medium with filling",290,6,45,9,true,"breakfast, south-indian"
Rava Dosa,"1 medium (110g)",200,4,30,7,true,"breakfast, south-indian"
Ragi Dosa,"1 medium (100g)",150,4,26,3,true,"breakfast, south-indian, fiber, gluten-free"
Oats Dosa,"1 medium (100g)",145,5,23,3.5,true,"breakfast, south-indian, fiber"
Moong Dal Dosa (Pesarattu),"1 medium (110g)",180,9,25,4,true,"breakfast, south-indian, high-protein"
Set Dosa,"2 small (100g)",170,4,29,4,true,"breakfast, south-indian"
Uttapam (Onion),"1 medium (120g)",210,5,34,6,true,"breakfast, south-indian"
Uttapam (Vegetable),"1 medium (130g)",220,6,35,6,true,"breakfast, south-indian, fiber"
Rava Upma,"1 katori (150g)",250,6,38,8,true,"breakfast, south-indian"
Vegetable Upma,"1 katori (160g)",240,6,36,8,true,"breakfast, south-indian, fiber"
Ven Pongal,"1 katori (150g)",280,8,42,9,true,"breakfast, south-indian"
Semiya Upma,"1 katori (150g)",230,5,40,6,true,"breakfast, south-indian"
Medu Vada,"2 pieces (80g)",270,7,28,14,true,"breakfast, south-indian, snack"
Idiyappam,"3 pieces (120g)",180,4,38,1.5,true,"breakfast, south-indian, low-fat"
Appam,"2 pieces (110g)",190,3,36,4,true,"breakfast, south-indian"
Puttu,"1 cylinder (120g)",200,4,40,3,true,"breakfast, south-indian"
Curd Rice,"1 katori (180g)",230,7,36,6,true,"lunch, south-indian, light"
Lemon Rice,"1 katori (180g)",280,5,45,9,true,"lunch, south-indian"
Tamarind Rice,"1 katori (180g)",300,5,48,10,true,"lunch, south-indian"
Bisibelebath,"1 katori (200g)",320,10,50,9,true,"lunch, south-indian, high-protein"
Sambar,"1 katori (150g)",120,6,17,3,true,"lunch, dinner, south-indian, high-protein"
Rasam,"1 katori (150g)",60,3,9,1.5,true,"lunch, dinner, south-indian, light"
Vegetable Avial,"1 katori (150g)",160,4,14,10,true,"lunch, dinner, south-indian, healthy-fat"
Beans Poriyal,"1 katori (120g)",110,4,12,5,true,"lunch, dinner, south-indian, fiber"
Cabbage Poriyal,"1 katori (120g)",95,3,11,4.5,true,"lunch, dinner, south-indian, fiber"
Kootu,"1 katori (150g)",150,7,18,5,true,"lunch, dinner, south-indian, high-protein"
Coconut Chutney,"2 tbsp (30g)",90,1.5,3,8,true,"side, south-indian, healthy-fat"
Tomato Chutney,"2 tbsp (30g)",45,1,5,2.5,true,"side, south-indian, light"
Chapati,"1 medium (35g)",100,3,18,2,true,"lunch, dinner, north-indian"
Chapati (2),"2 medium (70g)",200,6,36,4,true,"lunch, dinner, north-indian"
Phulka (no oil),"2 pieces (60g)",160,5,32,1,true,"lunch, dinner, north-indian, low-fat"
Bajra Roti,"1 medium (45g)",120,3.5,21,3,true,"lunch, dinner, north-indian, fiber, gluten-free"
Jowar Roti,"1 medium (45g)",115,3,22,2,true,"lunch, dinner, north-indian, fiber, gluten-free"
Ragi Roti,"1 medium (45g)",110,3,22,2,true,"lunch, dinner, north-indian, fiber, gluten-free"
Missi Roti,"1 medium (50g)",145,5,22,4,true,"lunch, dinner, north-indian, high-protein"
Aloo Paratha,"1 medium (120g)",290,6,42,11,true,"breakfast, north-indian"
Paneer Paratha,"1 medium (120g)",320,12,36,14,true,"breakfast, north-indian, high-protein"
Methi Paratha,"1 medium (100g)",240,6,34,9,true,"breakfast, north-indian, fiber"
Plain Paratha,"1 medium (90g)",250,5,36,9,true,"breakfast, north-indian"
Vegetable Poha,"1 plate (150g)",250,5,42,7,true,"breakfast, north-indian, west-indian"
Moong Dal Chilla,"2 medium (120g)",220,12,26,7,true,"breakfast, north-indian, high-protein"
Besan Chilla,"2 medium (120g)",240,11,28,9,true,"breakfast, north-indian, high-protein"
Oats Chilla,"2 medium (120g)",210,10,27,6,true,"breakfast, high-protein, fiber"
Vegetable Daliya,"1 katori (180g)",210,7,38,4,true,"breakfast, north-indian, fiber"
Stuffed Besan Cheela,"2 medium (140g)",280,15,29,11,true,"breakfast, north-indian, high-protein"
Dal Tadka,"1 katori (150g)",150,9,20,4,true,"lunch, dinner, north-indian, high-protein"
Dal Fry,"1 katori (150g)",180,9,20,7,true,"lunch, dinner, north-indian, high-protein"
Moong Dal,"1 katori (150g)",140,9,19,3,true,"lunch, dinner, high-protein, light"
Masoor Dal,"1 katori (150g)",145,9,20,3,true,"lunch, dinner, high-protein"
Toor Dal,"1 katori (150g)",150,9,21,3,true,"lunch, dinner, high-protein"
Chana Dal,"1 katori (150g)",180,10,25,4,true,"lunch, dinner, high-protein, fiber"
Rajma Curry,"1 katori (150g)",210,11,30,5,true,"lunch, dinner, north-indian, high-protein, fiber"
Chole (Chickpea Curry),"1 katori (150g)",230,11,31,7,true,"lunch, dinner, north-indian, high-protein, fiber"
Kadhi,"1 katori (150g)",160,6,15,8,true,"lunch, dinner, north-indian"
Dal Khichdi,"1 katori (200g)",280,11,45,6,true,"lunch, dinner, light, high-protein"
Vegetable Khichdi,"1 katori (200g)",260,9,44,5,true,"lunch, dinner, light, fiber"
Palak Paneer,"1 katori (150g)",260,14,10,19,true,"lunch, dinner, north-indian, high-protein, low-carb"
Paneer Bhurji,"1 katori (120g)",280,16,8,21,true,"breakfast, lunch, dinner, high-protein, low-carb"
Matar Paneer,"1 katori (150g)",270,13,16,18,true,"lunch, dinner, north-indian, high-protein"
Paneer Tikka (grilled),"6 pieces (120g)",290,18,7,21,true,"lunch, dinner, snack, high-protein, low-carb"
Grilled Paneer,"100g",265,18,4,20,true,"lunch, dinner, high-protein, low-carb"
Bhindi Sabzi,"1 katori (120g)",120,3,12,7,true,"lunch, dinner, north-indian, fiber, low-carb"
Lauki Sabzi,"1 katori (150g)",90,2,10,5,true,"lunch, dinner, north-indian, light, low-carb"
Mixed Vegetable Sabzi,"1 katori (150g)",130,4,15,6,true,"lunch, dinner, fiber"
Baingan Bharta,"1 katori (150g)",150,3,14,9,true,"lunch, dinner, north-indian, low-carb"
Aloo Gobi,"1 katori (150g)",160,4,20,7,true,"lunch, dinner, north-indian"
Cabbage Sabzi,"1 katori (120g)",95,3,11,4.5,true,"lunch, dinner, fiber, low-carb"
Tinda Sabzi,"1 katori (150g)",100,3,11,5,true,"lunch, dinner, north-indian, light, low-carb"
Sarson Ka Saag,"1 katori (150g)",170,6,12,11,true,"lunch, dinner, north-indian, fiber"
Steamed Rice,"1 katori (150g)",200,4,44,0.4,true,"lunch, dinner, low-fat"
Brown Rice,"1 katori (150g)",215,5,45,1.8,true,"lunch, dinner, fiber"
Jeera Rice,"1 katori (150g)",260,4,45,7,true,"lunch, dinner, north-indian"
Vegetable Pulao,"1 katori (180g)",290,6,48,8,true,"lunch, dinner, north-indian"
Quinoa (cooked),"1 katori (150g)",180,6,32,3,true,"lunch, dinner, high-protein, fiber, gluten-free"
Thepla,"2 pieces (80g)",210,6,30,7,true,"breakfast, west-indian, fiber"
Dhokla,"3 pieces (120g)",180,7,28,4,true,"breakfast, snack, west-indian, high-protein"
Handvo,"1 slice (100g)",210,8,28,7,true,"breakfast, snack, west-indian, high-protein"
Bajra Bhakri,"1 medium (50g)",135,4,24,3,true,"lunch, dinner, west-indian, fiber, gluten-free"
Misal (no pav),"1 katori (180g)",250,12,30,9,true,"breakfast, west-indian, high-protein, fiber"
Sprouts Usal,"1 katori (150g)",180,11,24,4,true,"breakfast, snack, west-indian, high-protein, fiber"
Khaman,"3 pieces (120g)",190,8,27,5,true,"breakfast, snack, west-indian, high-protein"
Luchi,"2 pieces (60g)",250,4,30,13,true,"breakfast, east-indian"
Macher Jhol (Fish Curry),"1 katori with 1 piece",220,22,6,12,false,"lunch, dinner, east-indian, high-protein, low-carb"
Aloo Posto,"1 katori (150g)",210,5,22,12,true,"lunch, dinner, east-indian"
Chingri Malai Curry,"1 katori (150g)",280,20,8,19,false,"lunch, dinner, east-indian, high-protein"
Shukto,"1 katori (150g)",140,4,15,7,true,"lunch, dinner, east-indian, fiber"
Boiled Egg,"1 large (50g)",78,6.3,0.6,5.3,false,"breakfast, snack, high-protein, low-carb"
Boiled Eggs (2),"2 large (100g)",156,12.6,1.2,10.6,false,"breakfast, high-protein, low-carb"
Egg White (boiled),"3 whites (100g)",52,11,0.7,0.2,false,"breakfast, snack, high-protein, low-carb, low-fat"
